1A 178.3352456 7.9335292 0.050 0.050 22.5 1.524 0.
1B 178.3317916 7.9364979 0.050 0.050 22.5 1.524 0.
1C 178.3289710 7.9369786 0.050 0.050 22.5 1.524 0.
2A 178.3305175 7.9271795 0.050 0.050 22.5 1.939 0.
2B 178.3288879 7.9276377 0.050 0.050 22.5 1.939 0.
2C 178.3249392 7.9318063 0.050 0.050 22.5 1.939 0.
5.1 178.3331395 7.9324863 0.050 0.050 22.5 1.524 0.
5.2 178.3326207 7.9333058 0.050 0.050 22.5 1.524 0.
5.3 178.3265222 7.9359173 0.050 0.050 22.5 1.524 0.
6.1 178.3332018 7.9322651 0.050 0.050 22.5 1.524 0.
6.2 178.3325016 7.9334958 0.050 0.050 22.5 1.524 0.
6.3 178.3264534 7.9359229 0.050 0.050 22.5 1.524 0.  
A3a 178.3337200 7.9356289 0.050 0.050 22.5 0. 0.
A3b 178.3335046 7.9358509 0.050 0.050 22.5 0. 0.
A3c 178.3283463 7.9374127 0.050 0.050 22.5 0. 0.
A4a 178.3338254 7.9354980 0.050 0.050 22.5 0. 0.
A4b 178.3333693 7.9359459 0.050 0.050 22.5 0. 0.
A4c 178.3282985 7.9374114 0.050 0.050 22.5 0. 0.
B7a 178.3302527 7.9276131 0.050 0.050 22.5 0. 0.
B7b 178.3292017 7.9278538 0.050 0.050 22.5 0. 0.
B7c 178.3247555 7.9326186 0.050 0.050 22.5 0. 0.
