#Nsample
#ln(Lhood)
#O1 : x (arcsec)
#O1 : y (arcsec)
#O1 : emass
#O1 : theta (deg)
#O1 : rc (arcsec)
#O1 : sigma (km/s)
#O2 : emass
#O2 : theta (deg)
#O2 : rc (arcsec)
#O2 : sigma (km/s)
#O2 : rcut (arcsec)
#O3 : emass
#O3 : rc (arcsec)
#O3 : sigma (km/s)
#O3 : rcut (arcsec)
#O4 : emass
#O4 : rc (arcsec)
#O4 : sigma (km/s)
#O4 : rcut (arcsec)
#O5 : emass
#O5 : theta (deg)
#O5 : rc (arcsec)
#O5 : sigma (km/s)
#O5 : rcut (arcsec)
#O6 : sigma (km/s)
#Redshift of A3c
#Redshift of B7c
#Pot0 rcut (arcsec)
#Pot0 sigma (km/s)
#Chi2
1 6.712351 -0.195250 -0.390075 0.495291 119.363306 9.162040 835.804200 0.535891 77.414537 2.705012 189.439799 3.635091 0.389181 4.122649 106.070715 5.671006 0.160511 4.918675 34.705058 6.289599 0.384344 168.145467 1.131544 222.796652 16.960167 676.495929 1.536549 1.962801 14.620599 113.145579 44.577247 
1 -1.356432 -0.334034 0.197840 0.449037 119.658764 9.570712 837.684665 0.474744 70.070412 2.645932 221.577764 4.553664 0.166160 3.486734 129.698096 4.717084 0.309406 6.256112 7.958022 8.323688 0.567998 6.385992 0.980304 225.654478 16.646759 700.119648 1.534141 1.994548 15.606180 114.115904 60.714813 
1 4.166782 -0.062163 -0.463534 0.475919 120.257879 9.042914 836.066570 0.523729 72.880181 2.490244 217.420851 3.496971 0.344911 4.122064 119.748333 4.846651 0.591995 4.755499 45.318194 6.409045 0.510953 174.112050 0.821303 228.991289 16.850139 645.189003 1.528880 1.944568 13.833775 113.901584 49.668384 
1 3.736158 -0.128527 -0.435316 0.499027 118.918537 9.165959 832.195523 0.416099 68.447697 2.918400 177.053099 3.847897 0.271023 4.313499 114.448797 5.964853 0.082129 5.836056 10.667299 5.981464 0.300934 155.984614 0.888276 213.540873 17.555130 707.880589 1.539325 1.977714 16.098674 111.684157 50.529632 
1 8.878498 -0.128850 -0.523775 0.504009 119.176961 9.009746 830.740410 0.580499 74.009255 2.952206 191.870530 3.374262 0.250711 3.932672 117.954208 6.097135 0.006983 5.076372 30.923744 5.901841 0.393432 172.263343 1.031071 221.409968 17.038331 698.096166 1.532522 1.964635 15.718776 111.283093 40.244951 
1 5.114196 -0.154029 -0.471276 0.482218 119.570696 9.031886 831.499461 0.497339 65.073350 2.606018 199.538568 3.618198 0.058788 3.843566 125.924704 6.096224 0.212790 5.946697 13.531545 6.617869 0.418733 11.157760 0.736708 230.650493 16.850374 700.180309 1.529909 1.966244 15.456809 111.829028 47.773556 
1 3.611223 -0.088473 -0.468956 0.482736 120.134715 9.077990 830.845203 0.547618 69.200055 2.535027 191.571668 4.556752 0.304286 3.321365 150.025155 7.438317 0.008743 5.537733 26.475718 6.746632 0.325313 4.864975 0.992391 217.613720 16.584220 700.137644 1.535436 1.939633 15.819172 110.448381 50.779501 
1 2.626108 -0.160005 -0.527107 0.489807 119.473698 9.386907 845.249098 0.481865 69.628041 2.004007 173.687762 4.555756 0.371042 4.297998 121.887907 7.501836 0.163951 5.370933 32.944190 6.438711 0.231769 161.160415 1.208569 217.613309 16.308572 663.373717 1.540692 1.945613 13.860580 111.391677 52.749732 
1 4.107331 -0.170947 -0.321495 0.477638 119.615693 9.302044 839.749826 0.256761 71.054444 2.786902 196.040594 2.939494 0.166415 3.796977 117.761067 5.541733 0.278081 5.054688 44.072367 6.331102 0.424416 178.422325 0.663292 227.448830 17.152896 667.830322 1.513662 1.962338 14.201215 113.339109 49.787286 
1 5.051738 -0.257027 -0.176752 0.476948 119.856938 9.307836 837.998294 0.555630 76.620287 2.970982 223.987891 3.311856 0.343403 3.427934 126.916597 5.975749 0.447733 5.118504 44.465967 7.068797 0.555943 0.487945 0.810357 230.801976 16.476324 681.879312 1.507868 1.970885 15.272275 111.538326 47.898473 
